,id,datetime,machine,temp,speed,rpm,rms_velocity_x,rms_velocity_y,rms_velocity_z,rms_Acceleration_x,rms_Acceleration_y,rms_Acceleration_z,created_on,updated_on
52,5460,01-03-2022 01:15,Drumming 4,43.44,30.0,30.0,2.44,2.59,1.07,56.78,63.56,28.29,2022-03-17 11:00:25,2022-07-27 09:03:49
53,5461,01-03-2022 01:16,Drumming 4,43.19,30.0,330.0,2.06,1.95,0.79,49.97,47.26,18.13,2022-03-17 11:00:25,2022-07-27 09:03:49
56,5464,01-03-2022 01:19,Drumming 4,42.5,30.0,30.0,2.17,2.32,0.96,51.6,55.99,21.54,2022-03-17 11:00:25,2022-07-27 09:03:49
60,5468,01-03-2022 01:23,Drumming 4,41.56,30.0,30.0,2.52,2.46,1.43,57.49,57.68,34.27,2022-03-17 11:00:25,2022-07-27 09:03:49
61,5470,01-03-2022 01:25,Drumming 4,41.12,30.0,450.0,1.57,1.83,1.05,36.15,44.58,25.47,2022-03-17 11:00:25,2022-07-27 09:03:49
63,5472,01-03-2022 01:27,Drumming 4,40.81,30.0,480.0,2.76,2.49,1.1,63.53,58.0,24.83,2022-03-17 11:00:25,2022-07-27 09:03:49
64,5473,01-03-2022 01:28,Drumming 4,40.62,30.0,480.0,2.57,2.79,1.71,56.54,64.4,38.81,2022-03-17 11:00:25,2022-07-27 09:03:49
109,5536,01-03-2022 02:31,Drumming 4,42.0,30.0,300.0,1.67,1.74,0.88,39.14,40.62,24.14,2022-03-17 11:00:25,2022-07-27 09:03:49
110,5538,01-03-2022 02:33,Drumming 4,41.62,30.0,450.0,2.27,1.93,1.29,53.74,45.56,33.42,2022-03-17 11:00:25,2022-07-27 09:03:49
111,5539,01-03-2022 02:34,Drumming 4,41.44,30.0,480.0,4.19,4.06,1.15,96.21,97.39,32.6,2022-03-17 11:00:25,2022-07-27 09:03:49
112,5540,01-03-2022 02:35,Drumming 4,41.19,30.0,330.0,1.89,2.31,0.9,45.09,57.49,22.31,2022-03-17 11:00:25,2022-07-27 09:03:49
113,5541,01-03-2022 02:36,Drumming 4,40.94,30.0,330.0,2.02,2.41,0.93,47.81,60.19,23.32,2022-03-17 11:00:25,2022-07-27 09:03:49
117,5545,01-03-2022 02:40,Drumming 4,40.25,30.0,330.0,1.86,2.28,0.83,44.56,56.88,21.31,2022-03-17 11:00:25,2022-07-27 09:03:49
118,5546,01-03-2022 02:41,Drumming 4,40.12,30.0,300.0,2.23,2.4,1.01,52.39,58.95,25.6,2022-03-17 11:00:25,2022-07-27 09:03:49
119,5547,01-03-2022 02:42,Drumming 4,40.0,30.0,300.0,1.98,2.32,1.03,46.6,57.79,26.68,2022-03-17 11:00:25,2022-07-27 09:03:49
161,5608,01-03-2022 03:43,Drumming 4,41.06,30.0,330.0,2.56,2.08,1.14,58.43,47.25,28.74,2022-03-17 11:00:25,2022-07-27 09:03:49
162,5609,01-03-2022 03:44,Drumming 4,40.81,30.0,450.0,1.74,1.7,0.8,40.43,42.99,19.26,2022-03-17 11:00:25,2022-07-27 09:03:49
164,5611,01-03-2022 03:46,Drumming 4,40.44,30.0,300.0,2.37,2.75,1.33,54.9,67.49,35.88,2022-03-17 11:00:25,2022-07-27 09:03:49
165,5612,01-03-2022 03:47,Drumming 4,40.19,30.0,450.0,2.21,2.03,0.81,51.19,47.92,19.33,2022-03-17 11:00:25,2022-07-27 09:03:49
167,5614,01-03-2022 03:49,Drumming 4,39.88,30.0,450.0,2.66,2.43,1.15,60.17,55.5,27.5,2022-03-17 11:00:25,2022-07-27 09:03:49
168,5615,01-03-2022 03:50,Drumming 4,39.75,30.0,450.0,1.93,1.96,0.68,44.39,48.26,17.85,2022-03-17 11:00:25,2022-07-27 09:03:49
170,5617,01-03-2022 03:52,Drumming 4,39.44,30.0,480.0,2.38,2.82,1.43,55.31,70.39,36.48,2022-03-17 11:00:25,2022-07-27 09:03:49
171,5618,01-03-2022 03:53,Drumming 4,39.31,30.0,60.0,1.37,1.42,0.85,32.09,34.93,20.81,2022-03-17 11:00:25,2022-07-27 09:03:49
172,5619,01-03-2022 03:54,Drumming 4,39.19,30.0,480.0,1.77,1.22,0.66,40.79,28.4,16.8,2022-03-17 11:00:25,2022-07-27 09:03:49
206,5656,01-03-2022 04:31,Drumming 4,38.88,27.94,30.0,8.97,9.61,5.68,194.44,207.8,122.99,2022-03-17 11:00:25,2022-07-27 09:03:49
207,5657,01-03-2022 04:32,Drumming 4,38.88,27.94,240.0,9.5,9.81,5.94,206.37,212.54,129.08,2022-03-17 11:00:25,2022-07-27 09:03:49
208,5658,01-03-2022 04:33,Drumming 4,38.88,27.94,330.0,10.45,10.47,6.25,228.56,227.47,136.34,2022-03-17 11:00:25,2022-07-27 09:03:49
209,5659,01-03-2022 04:34,Drumming 4,38.88,27.94,300.0,11.15,11.1,6.48,244.1,241.62,141.34,2022-03-17 11:00:25,2022-07-27 09:03:49
210,5660,01-03-2022 04:35,Drumming 4,38.94,27.97,210.0,13.41,13.25,7.55,295.88,290.02,165.76,2022-03-17 11:00:25,2022-07-27 09:03:49
325,5819,01-03-2022 07:14,Drumming 4,41.69,30.0,300.0,5.94,4.12,1.46,133.38,93.05,34.53,2022-03-17 11:00:25,2022-07-27 09:03:49
326,5820,01-03-2022 07:15,Drumming 4,41.62,30.0,420.0,4.95,3.45,1.25,113.32,81.42,30.51,2022-03-17 11:00:25,2022-07-27 09:03:49
328,5822,01-03-2022 07:17,Drumming 4,41.38,30.0,450.0,2.55,2.69,1.74,56.77,63.19,41.75,2022-03-17 11:00:25,2022-07-27 09:03:49
329,5823,01-03-2022 07:18,Drumming 4,41.25,30.0,450.0,3.1,3.02,1.39,69.8,69.63,32.69,2022-03-17 11:00:25,2022-07-27 09:03:49
330,5824,01-03-2022 07:19,Drumming 4,41.06,30.0,450.0,1.96,2.28,1.39,48.16,55.97,33.92,2022-03-17 11:00:25,2022-07-27 09:03:49
331,5825,01-03-2022 07:20,Drumming 4,40.94,30.0,480.0,1.92,2.19,1.28,46.22,53.95,31.94,2022-03-17 11:00:25,2022-07-27 09:03:49
332,5826,01-03-2022 07:21,Drumming 4,40.75,30.0,480.0,1.84,1.98,1.28,43.96,47.68,31.06,2022-03-17 11:00:25,2022-07-27 09:03:49
334,5828,01-03-2022 07:23,Drumming 4,40.5,30.0,30.0,1.72,2.01,1.2,39.54,47.78,29.64,2022-03-17 11:00:25,2022-07-27 09:03:49
376,5873,01-03-2022 08:08,Drumming 4,39.69,18.65,600.0,6.0,6.03,3.79,131.23,130.92,82.93,2022-03-17 11:00:25,2022-07-27 09:03:49
381,5885,01-03-2022 08:20,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
382,5886,01-03-2022 08:21,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
384,5888,01-03-2022 08:23,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
385,5889,01-03-2022 08:24,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
388,5892,01-03-2022 08:27,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
389,5893,01-03-2022 08:28,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
390,5894,01-03-2022 08:29,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
392,5896,01-03-2022 08:31,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
394,5898,01-03-2022 08:33,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
395,5899,01-03-2022 08:34,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
436,5961,01-03-2022 09:36,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
437,5962,01-03-2022 09:37,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
439,5964,01-03-2022 09:39,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
440,5965,01-03-2022 09:40,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
442,5967,01-03-2022 09:42,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
443,5968,01-03-2022 09:43,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
445,5970,01-03-2022 09:45,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
446,5971,01-03-2022 09:46,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
447,5972,01-03-2022 09:47,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
448,5973,01-03-2022 09:48,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
604,6189,01-03-2022 13:24,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
605,6190,01-03-2022 13:25,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
607,6192,01-03-2022 13:27,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
608,6193,01-03-2022 13:28,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
611,6196,01-03-2022 13:31,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
612,6197,01-03-2022 13:32,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
615,6200,01-03-2022 13:35,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
617,6203,01-03-2022 13:38,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
618,6204,01-03-2022 13:39,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1041,6763,01-03-2022 22:58,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1044,6766,01-03-2022 23:01,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1045,6767,01-03-2022 23:02,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1046,6768,01-03-2022 23:03,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1050,6772,01-03-2022 23:07,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1053,6775,01-03-2022 23:10,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1054,6776,01-03-2022 23:11,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1055,6777,01-03-2022 23:12,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1213,6977,02-03-2022 02:32,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1217,6981,02-03-2022 02:36,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1218,6982,02-03-2022 02:37,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1219,6983,02-03-2022 02:38,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1220,6984,02-03-2022 02:39,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1221,6985,02-03-2022 02:40,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1224,6988,02-03-2022 02:43,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1225,6989,02-03-2022 02:44,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1271,7050,02-03-2022 03:45,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1272,7051,02-03-2022 03:46,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1278,7057,02-03-2022 03:52,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1279,7058,02-03-2022 03:53,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1282,7061,02-03-2022 03:56,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1284,7063,02-03-2022 03:58,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1285,7064,02-03-2022 03:59,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1492,7334,02-03-2022 08:29,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1493,7335,02-03-2022 08:30,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1497,7340,02-03-2022 08:35,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1499,7342,02-03-2022 08:37,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1500,7343,02-03-2022 08:38,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1502,7345,02-03-2022 08:40,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1503,7346,02-03-2022 08:41,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1504,7347,02-03-2022 08:42,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1505,7348,02-03-2022 08:43,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:25,2022-07-27 09:03:49
1549,7411,02-03-2022 09:46,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1550,7412,02-03-2022 09:47,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1551,7413,02-03-2022 09:48,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1552,7414,02-03-2022 09:49,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1553,7415,02-03-2022 09:50,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1558,7422,02-03-2022 09:57,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1559,7423,02-03-2022 09:58,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1560,7424,02-03-2022 09:59,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1561,7425,02-03-2022 10:00,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1562,7426,02-03-2022 10:01,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1662,7554,02-03-2022 12:09,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1663,7555,02-03-2022 12:10,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1665,7557,02-03-2022 12:12,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1666,7558,02-03-2022 12:13,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1667,7559,02-03-2022 12:14,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1670,7562,02-03-2022 12:17,Drumming 4,39.69,30.0,90.0,0.05,0.07,0.13,1.1,1.67,2.73,2022-03-17 11:00:26,2022-07-27 09:03:49
1671,7563,02-03-2022 12:18,Drumming 4,44.69,30.0,240.0,3.05,2.72,2.01,69.59,62.09,49.86,2022-03-17 11:00:26,2022-07-27 09:03:49
1672,7564,02-03-2022 12:19,Drumming 4,44.56,30.0,450.0,2.98,2.74,1.92,68.8,63.29,47.74,2022-03-17 11:00:26,2022-07-27 09:03:49
1673,7565,02-03-2022 12:20,Drumming 4,44.38,30.0,450.0,2.85,2.73,1.96,65.35,63.31,48.8,2022-03-17 11:00:26,2022-07-27 09:03:49
1675,7567,02-03-2022 12:22,Drumming 4,44.19,30.0,450.0,2.71,2.66,1.93,62.23,60.97,47.53,2022-03-17 11:00:26,2022-07-27 09:03:49
1676,7568,02-03-2022 12:23,Drumming 4,44.06,30.0,300.0,2.64,2.65,2.0,60.11,60.02,49.13,2022-03-17 11:00:26,2022-07-27 09:03:49
1809,7739,02-03-2022 15:14,Drumming 4,45.31,1.85,210.0,2.63,2.45,1.3,57.23,53.21,28.67,2022-03-17 11:00:26,2022-07-27 09:03:49
1946,7901,02-03-2022 17:56,Drumming 4,45.88,4.62,300.0,5.24,5.28,2.82,113.95,115.24,61.55,2022-03-17 11:00:26,2022-07-27 09:03:49
1985,7949,02-03-2022 18:44,Drumming 4,45.31,1.1,210.0,1.61,1.61,0.9,35.14,35.0,20.24,2022-03-17 11:00:26,2022-07-27 09:03:49
2002,7967,02-03-2022 19:02,Drumming 4,45.56,26.99,630.0,8.05,8.71,5.42,175.31,189.71,119.07,2022-03-17 11:00:26,2022-07-27 09:03:49
2003,7968,02-03-2022 19:03,Drumming 4,45.5,26.96,660.0,8.67,9.18,5.55,189.24,200.35,121.89,2022-03-17 11:00:26,2022-07-27 09:03:49
2004,7969,02-03-2022 19:04,Drumming 4,45.5,26.93,660.0,8.26,8.85,5.12,179.61,192.86,112.34,2022-03-17 11:00:26,2022-07-27 09:03:49
2064,8045,02-03-2022 20:20,Drumming 4,44.69,17.9,300.0,6.29,6.04,2.88,137.52,131.62,63.48,2022-03-17 11:00:26,2022-07-27 09:03:49
2118,8110,02-03-2022 21:25,Drumming 4,42.31,27.97,90.0,9.63,9.28,5.34,209.41,200.84,115.78,2022-03-17 11:00:26,2022-07-27 09:03:49
2119,8111,02-03-2022 21:26,Drumming 4,42.25,27.97,120.0,10.2,9.78,5.43,223.84,212.21,118.38,2022-03-17 11:00:26,2022-07-27 09:03:49
2120,8112,02-03-2022 21:27,Drumming 4,42.19,27.97,300.0,8.47,8.24,4.82,187.38,179.53,106.48,2022-03-17 11:00:26,2022-07-27 09:03:49
2236,8352,03-03-2022 01:27,Drumming 4,42.62,30.0,450.0,2.09,1.78,1.31,48.09,39.7,31.74,2022-03-17 11:00:26,2022-07-27 09:03:49
2237,8353,03-03-2022 01:28,Drumming 4,42.5,30.0,300.0,1.67,2.67,1.27,37.46,65.05,31.29,2022-03-17 11:00:26,2022-07-27 09:03:49
2238,8354,03-03-2022 01:29,Drumming 4,42.31,30.0,300.0,2.25,2.09,1.25,50.67,49.95,29.41,2022-03-17 11:00:26,2022-07-27 09:03:49
2244,8360,03-03-2022 01:35,Drumming 4,41.19,30.0,60.0,1.83,2.04,1.44,42.24,46.8,33.42,2022-03-17 11:00:26,2022-07-27 09:03:49
2247,8363,03-03-2022 01:38,Drumming 4,40.69,30.0,30.0,0.98,1.11,0.75,23.35,27.74,19.65,2022-03-17 11:00:26,2022-07-27 09:03:49
2294,8464,03-03-2022 03:19,Drumming 4,42.44,30.0,270.0,3.2,2.7,1.94,72.78,61.83,47.29,2022-03-17 11:00:26,2022-07-27 09:03:49
2295,8465,03-03-2022 03:20,Drumming 4,42.19,30.0,360.0,2.96,2.62,1.9,67.1,59.02,46.53,2022-03-17 11:00:26,2022-07-27 09:03:49
2299,8470,03-03-2022 03:25,Drumming 4,40.38,30.0,450.0,2.59,2.32,1.86,58.64,53.16,46.83,2022-03-17 11:00:26,2022-07-27 09:03:49
2300,8471,03-03-2022 03:26,Drumming 4,39.94,30.0,30.0,2.58,2.31,1.81,58.47,51.49,44.25,2022-03-17 11:00:26,2022-07-27 09:03:49
2301,8472,03-03-2022 03:27,Drumming 4,39.75,30.0,450.0,2.56,2.36,1.87,57.61,53.49,46.77,2022-03-17 11:00:26,2022-07-27 09:03:49
2302,8473,03-03-2022 03:28,Drumming 4,39.44,30.0,300.0,2.55,2.5,1.89,56.86,56.52,47.27,2022-03-17 11:00:26,2022-07-27 09:03:49
2305,8476,03-03-2022 03:31,Drumming 4,38.69,30.0,480.0,2.39,2.48,1.82,53.16,54.77,44.56,2022-03-17 11:00:26,2022-07-27 09:03:49
2306,8477,03-03-2022 03:32,Drumming 4,38.44,30.0,480.0,2.4,2.54,1.88,53.45,55.9,46.14,2022-03-17 11:00:26,2022-07-27 09:03:49
2346,8536,03-03-2022 04:31,Drumming 4,40.12,27.97,390.0,8.29,7.71,2.73,184.45,174.31,60.62,2022-03-17 11:00:26,2022-07-27 09:03:49
2347,8537,03-03-2022 04:32,Drumming 4,40.19,27.97,300.0,8.38,7.79,2.85,185.56,174.12,63.88,2022-03-17 11:00:26,2022-07-27 09:03:49
2348,8538,03-03-2022 04:33,Drumming 4,40.19,27.94,390.0,8.9,8.31,2.94,198.8,187.15,66.44,2022-03-17 11:00:26,2022-07-27 09:03:49
2349,8539,03-03-2022 04:34,Drumming 4,40.12,27.97,390.0,9.05,8.32,2.93,201.47,187.24,66.4,2022-03-17 11:00:26,2022-07-27 09:03:49
2350,8540,03-03-2022 04:35,Drumming 4,39.94,27.97,810.0,9.42,8.48,2.92,210.58,191.12,66.8,2022-03-17 11:00:26,2022-07-27 09:03:49
2351,8541,03-03-2022 04:36,Drumming 4,39.81,27.97,330.0,9.33,8.44,2.94,208.16,189.95,67.74,2022-03-17 11:00:26,2022-07-27 09:03:49
2352,8542,03-03-2022 04:37,Drumming 4,39.62,27.97,300.0,9.41,8.46,2.89,210.44,190.71,66.62,2022-03-17 11:00:26,2022-07-27 09:03:49
2353,8543,03-03-2022 04:38,Drumming 4,39.5,27.97,420.0,9.37,8.39,2.91,210.22,189.46,67.36,2022-03-17 11:00:26,2022-07-27 09:03:49
2354,8544,03-03-2022 04:39,Drumming 4,39.25,27.97,420.0,9.24,8.35,2.94,207.6,188.41,68.72,2022-03-17 11:00:26,2022-07-27 09:03:49
2355,8545,03-03-2022 04:40,Drumming 4,39.12,27.97,60.0,9.0,8.35,2.84,201.5,188.42,67.37,2022-03-17 11:00:26,2022-07-27 09:03:49
2356,8546,03-03-2022 04:41,Drumming 4,38.94,27.97,840.0,8.85,8.47,2.9,198.89,191.38,69.53,2022-03-17 11:00:26,2022-07-27 09:03:49
2357,8547,03-03-2022 04:42,Drumming 4,38.81,27.94,30.0,8.73,8.08,3.0,195.55,182.5,69.72,2022-03-17 11:00:26,2022-07-27 09:03:49
2358,8548,03-03-2022 04:43,Drumming 4,38.75,27.94,30.0,8.72,8.06,3.06,196.24,182.25,73.05,2022-03-17 11:00:26,2022-07-27 09:03:49
2359,8549,03-03-2022 04:44,Drumming 4,38.62,27.97,870.0,8.63,8.0,2.94,194.7,181.49,70.06,2022-03-17 11:00:26,2022-07-27 09:03:49
2360,8550,03-03-2022 04:45,Drumming 4,38.56,28.0,390.0,8.61,7.99,3.13,194.0,180.84,72.82,2022-03-17 11:00:26,2022-07-27 09:03:49
2361,8551,03-03-2022 04:46,Drumming 4,38.44,27.68,300.0,8.47,7.99,3.11,190.81,180.75,72.03,2022-03-17 11:00:26,2022-07-27 09:03:49
2536,9480,03-03-2022 20:17,Drumming 4,43.5,9.35,300.0,7.29,7.25,4.5,158.14,156.7,98.51,2022-03-17 11:00:26,2022-07-27 09:03:49
2556,9514,03-03-2022 20:51,Drumming 4,44.31,3.43,330.0,1.54,1.4,0.77,33.91,30.67,17.41,2022-03-17 11:00:26,2022-07-27 09:03:49
2591,9551,03-03-2022 21:28,Drumming 4,43.25,27.94,120.0,9.35,8.96,4.7,203.71,194.51,102.26,2022-03-17 11:00:26,2022-07-27 09:03:49
